【テーブルA】評価セルマッピング										【テーブルB】グループ存在				【テーブルC】オプション選択				【テーブルD】メンテナンス状況						【テーブルE】カテゴリ調査状況				【テーブルF】項目調査実施状況							【テーブルG】資料値・実測値				【テーブルH】物件基本情報				【テーブルI】備考			【テーブルJ】定型写真				【テーブルK】不具合テンプレート							
itemId	aセル(V列)	b1セル(X列)	b2セル(W列)	cセル(Y列)	目視セル	計測セル	触診セル		項目名（参考）	groupKey	グループ名	有セル	無セル	optionKey	選択値名	セルアドレス	説明	maintId	要セル	不要セル	良好セル	特に問題無セル	説明	catId/groupId	実施セル	不可セル	不可理由セル	itemId	実施セル	不要セル	不可セル	不可理由セル	項目名		itemId	資料値セル	実測値セル	項目名	fieldKey	フィールド名	セルアドレス	説明	remarkKey	セルアドレス	説明	photoType	写真名	画像挿入先セル	備考	templateKey	シート名	場所セル(左)	部位セル(左)	劣化状況セル(左)	評価セル(左)	補修方法セル(左)	画像セル(左)
item1	W23	Y23	W24	Y24	S23	S24	S25		外部① 敷地及び地盤: 地盤	group_youheki	擁壁	C31	E31	foundation_beta	ベタ基礎	D86	基礎形式	cat1	K522	O522	T522	W522	敷地及び地盤	group_yukashita	I60	N60	V60	item95	U473	W473	Y473	W474	鉄筋確認		item101	I503	M503	実測値不整合	prop_name	物件名称	C4	現地調査シート	remarks_general	A507	現地調査シート 備考テキスト	1	調査員自身撮影	B5	定形写真シート	tmpl_c	評価c劣化事象	G4	J4	D5	K5	G6	B8
item2	W26	Y26	W27	Y27	S26	S27	S28		外部① 敷地及び地盤: 敷地	group_parking	駐車場	C36	E36	foundation_nuno	布基礎	D88	基礎形式	cat2	K526	O526	T526	W526	各点検口内	group_koyaura	J133	N133	V133	item96	U478	W478	Y478	W479	シュミットハンマー		item95_pitch		X476	鉄筋ピッチ(cm)	prop_date_year	調査日(年)	F8	現地調査シート				2	建物全景	L5	定形写真シート	tmpl_b2	評価b2劣化事象	G4	J4	D5	K5		B6
item3	W29	Y29	W30	Y30	S29	S30	S31		外部① 敷地及び地盤: 擁壁	group_bicycle	駐輪場	C39	E39	foundation_dokuritsu	独立基礎	D89	基礎形式	cat3	K530	O530	T530	W530	建築物外部	group_kiso	J174	N174	V174								item96_val1		I482	シュミット測定値1	prop_date_month	調査日(月)	I8	現地調査シート				3	建物館銘板等	B16	定形写真シート								
item4	W32	Y32	W33	Y33	S32	S33	S34		外部① 敷地及び地盤: 水抜きパイプ	group_okugai_kaidan	屋外階段	D373	D374	foundation_kui	杭基礎	D90	基礎形式	cat4	K534	O534	T534	W534	屋根及び屋上	group_gaiheki	J251	N251	V251								item96_val2		J482	シュミット測定値2	prop_date_day	調査日(日)	K8	現地調査シート				4	敷地及び地盤	L16	定形写真シート								
item5	W35	Y35	W36	Y36	S35	S36	S37		外部① 敷地及び地盤: 駐車場					foundation_unknown	不明	D92	基礎形式	cat5	K538	O538	T538	W538	共用部内装	group_kyoyobu	J327	N327	V327								item96_val3		K482	シュミット測定値3	prop_weather	天候(晴セル)	O8	晴セルを指定。曇/雨/雪はオフセット計算				5	各点検口内(床下)	B27	定形写真シート								
item6	W38	Y38	W39	Y39	S38	S39	S40		外部① 敷地及び地盤: 駐輪場					foundation_other	その他	D93	基礎形式							cat4	J395	N395	V395								item96_val4		L482	シュミット測定値4	prop_time_start	調査開始時間	T8	現地調査シート				6	各点検口内(小屋裏)	L27	定形写真シート								
item7	W41	Y41	W42	Y42	S41	S42	S43		外部① 敷地及び地盤: 建物の周囲					vent_port	換気口	D98	換気方法							cat5	J463	N463	V463								item96_val5		M482	シュミット測定値5	prop_time_end	調査終了時間	X8	現地調査シート				7	基礎	B38	定形写真シート								
item8	W61	Y61	W62	Y62	S61	S62	S64		外部② 各点検口内: 床下点検口					vent_packing	基礎パッキン	D100	換気方法																		item96_val6		N482	シュミット測定値6								8	外壁	L38	定形写真シート								
item9	W65	Y65	W66	Y66	S65	S66	S68		外部② 各点検口内: スコープ調査					vent_none	無	D101	換気方法																		item96_val7		O482	シュミット測定値7								9	外壁(2)	B53	定形写真シート								
item10	W69	Y69	W70	Y70	S69	S70	S72		外部② 各点検口内: コンクリート劣化					insulation_floor	床断熱工法	D105	断熱工法																		item96_val8		P482	シュミット測定値8								10	共用廊下等	L53	定形写真シート								
